geo_name,smoking_2015,smoking_2016,id,state,poverty_2015,poverty_2016
"Medina County, OH",0.146,0.159,39103,OH,0.07418539714773618,0.06628309987872238
"Meigs County, OH",0.397,0.226,39105,OH,0.22836278788402542,0.22761582509109837
"Mercer County, OH",0.149,0.159,39107,OH,0.08433615363620574,0.08305210918114143
"Miami County, OH",0.177,0.18899999999999997,39109,OH,0.1278251349026355,0.11090634293793575
"Monroe County, OH",,0.18100000000000002,39111,OH,0.19386759581881532,0.18806598806598807
"Montgomery County, OH",0.20800000000000002,0.20600000000000002,39113,OH,0.1864510748308271,0.18511195632407168
"Morgan County, OH",0.221,0.212,39115,OH,0.2136969363923616,0.20269244045564377
"Morrow County, OH",0.321,0.195,39117,OH,0.11749566223250434,0.11020620343094785
"Muskingum County, OH",0.225,0.222,39119,OH,0.18635579411482794,0.17422928305678842
"Noble County, OH",,0.20199999999999999,39121,OH,0.1272271016311167,0.1192551840880237
"Ottawa County, OH",0.261,0.174,39123,OH,0.10717102020699852,0.11055799093543354
"Paulding County, OH",0.20600000000000002,0.19,39125,OH,0.12835915270312995,0.1103400783981354
"Perry County, OH",0.254,0.213,39127,OH,0.19272380738830652,0.20627676357899483
"Pickaway County, OH",0.209,0.191,39129,OH,0.12552067263190372,0.12160836874795684
"Pike County, OH",0.259,0.235,39131,OH,0.23121968744386565,0.20682318150672582
"Portage County, OH",0.27699999999999997,0.19899999999999998,39133,OH,0.15614785013829519,0.15032979231474192
"Preble County, OH",0.223,0.19399999999999998,39135,OH,0.13348769193273216,0.13532474516610038
"Putnam County, OH",,0.165,39137,OH,0.05802833530106257,0.07831307485286725
"Richland County, OH",0.254,0.198,39139,OH,0.17005841834510418,0.16540449467781707
"Ross County, OH",0.32899999999999996,0.217,39141,OH,0.19295610550400763,0.1884982230400764
"Sandusky County, OH",0.245,0.195,39143,OH,0.14308673512544196,0.132009325913446
"Scioto County, OH",0.33899999999999997,0.25,39145,OH,0.253065413493221,0.23967314198406636
"Seneca County, OH",0.188,0.193,39147,OH,0.16887467353041372,0.15553534549726217
